grid_id,acronym
grid.29857.31,PSU
grid.29869.3c,KRICT
grid.30055.33,DUT
grid.30064.31,WSU
grid.30070.34,UIC
grid.30073.37,BRE
grid.30311.30,IVI
grid.30420.35,IUSS
grid.30434.30,CSGI
grid.30760.32,MCW
grid.30820.39,MU
grid.30977.3a,RATP
grid.31147.30,RIVM
grid.31501.36,SNU
grid.31564.35,KTU
grid.31567.36,BfS
grid.31880.32,BUPT
grid.31935.3d,ICOOR
grid.32197.3e,TIT
grid.32224.35,MGH
grid.32258.3e,FUNITEC
grid.32495.39,SPbPU
grid.32495.39,СПбПУ
grid.32509.3d,ACU
grid.32776.37,RUA
grid.33058.3d,KEMRI
grid.33070.37,UOB
grid.33199.31,HUST
grid.33224.34,ISU
grid.33235.34,FMSH
grid.33236.37,UniBg
grid.33440.30,MUST
grid.33489.35,UD
grid.33623.37,EIfER
grid.33647.35,RPI
grid.33762.33,JINR
grid.33763.32,TJU
grid.33764.35,HEU
grid.33801.39,HU
grid.33997.37,SPC
grid.33998.38,USP
grid.34197.38,CUT
grid.34197.38,PCz
grid.34421.30,ISU
grid.34477.33,UW
grid.34555.32,KNU
grid.34822.3f,IPB
grid.34980.36,IISc
grid.34988.3e,FUB 
grid.35043.31,MISIS
grid.35135.31,SPbAU
grid.35155.37,HZAU
grid.35247.37,IUNET
grid.35403.31,UIUC
grid.35541.36,KIST
grid.35843.39,SEI
grid.35915.3b,ITMO
grid.36083.3e,UOC
grid.36110.35,AU
grid.36193.3e,OECD
grid.36193.3e,OCDE
grid.36212.34,BL
grid.36303.35,ETRI
grid.36425.36,SBU
grid.36823.3c,CNAM
grid.36895.31,IPL
grid.37172.30,KAIST
grid.37179.3b,KUL
grid.37415.34,EUSP
grid.37472.35,WMU
grid.37553.37,JUST
grid.37589.30,NCU
grid.37600.32,BSU
grid.37677.32,NUBiP
grid.37678.3d,SKB
grid.37728.39,BU
grid.38275.3b,DWD
grid.38348.34,NTHU
grid.38407.38,NUOL
grid.38575.3c,YTU
grid.38587.31,HVRI
grid.38678.32,UQÀM
grid.38926.36,MSU
grid.38936.37,BASt
grid.39364.3b,EZK
grid.39381.30,UWO
grid.39382.33,BCM
grid.39436.3b,SHU
grid.39572.3a,MUCTR
grid.39591.37,RIM
grid.39679.32,NMIMT
grid.39679.32,NMT
grid.39768.33,CIDETEC
grid.39936.36,CUA
grid.39953.35,ISI
grid.40368.39,IFR
grid.40602.30,HZDR
grid.40803.3f,NCSU
grid.41156.37,NU
grid.41156.37,NJU 
grid.41405.34,GTU
grid.41611.33,ULB
grid.41719.3a,UMIT
grid.41891.35,MSU
grid.42050.33,UVT
grid.42167.36,RCA
grid.42271.32,USJ
grid.42399.35,CHU
grid.42475.30,LMB
grid.42505.36,USC
grid.42687.3f,UNIST
grid.42781.38,ECMWF
grid.43086.39,UCF
grid.43169.39,XJTU
grid.43308.3c,CAFS
grid.43322.34,LBEK
grid.43519.3a,UAEU
grid.43555.32,BIT
grid.43582.38,LLU
grid.43969.31,CUAHSI
grid.44214.37,VMRF 
grid.44871.3e,MU
grid.45083.3a,LSMU
grid.45199.30,UOM
grid.45203.30,NCGM
grid.45349.3f,ISCTE-IUL
grid.45419.3d,OCAD U
grid.45672.32,KAUST
grid.45907.3f,NTUST
grid.45978.37,SDU
grid.45982.32,TU
grid.46072.37,UT
grid.46078.3d,UW
grid.46309.38,MoS
grid.46699.34,KCH
grid.47170.35,UWIC
grid.47187.3d,MPS
grid.47244.31,CIT
grid.47840.3f,UCB
grid.47894.36,CSU
grid.48004.38,LSTM
grid.48166.3d,BUCT
grid.48336.3a,NCI
grid.48349.32,LSMU
grid.48430.3b,MRSU
grid.48430.3b,MSUO
grid.48472.3d,IvSU
grid.48507.3e,AANL
grid.48686.34,UPIT
grid.48815.30,DMU
grid.48862.30,MoD
grid.49096.32,HSU
grid.49100.3c,POSTECH 
grid.49470.3e,WHU
grid.49528.32,ONMU
grid.49791.32,ZU
grid.50494.3c,IUSE
grid.50550.35,AP-HP
grid.50971.3a,UNNC
grid.51008.3c,UCA
grid.51462.34,MSK
grid.51462.34,MSKCC
grid.52593.38,GTK
grid.52681.38,BRACU
grid.52788.30,WT
grid.52996.31,UCLH
grid.53857.3c,USU
grid.53959.33,IDRI
grid.53964.3d,SBRI
grid.54432.34,JSPS
grid.54549.39,UESTC
grid.54642.31,KASI
grid.55033.30,AUI
grid.55047.33,NCRD
grid.55380.3b,ENU
grid.55460.32,UT System
grid.55594.38,NRI
grid.55614.33,AAFC
grid.55834.3f,IPCB
grid.55940.3d,DIAS
grid.56046.31,HMU
grid.56302.32,KSU
grid.56466.37,WHOI
grid.56912.39,IBBT
grid.57544.37,HC
grid.57828.30,NCAR
grid.57981.32,DHSC
grid.58095.31,SCBIT
grid.58140.38,ENSMP
grid.58296.30,NZS
grid.59025.3b,NTU
grid.59053.3a,USTC
grid.59056.3f,CU
grid.59062.38,UVM
grid.59490.31,RGU
grid.59734.3c,MSSM
grid.59734.3c,ISMMS
grid.59784.37,NHRI
grid.59877.34,EH
grid.59914.30,DECHEMA
grid.60969.30,UEL
grid.61221.36,GIST
grid.61221.36,K-JIST
grid.61569.3d,BMSTU
grid.61569.3d,MSTU
grid.61777.30,UFT
grid.61971.38,SFU
grid.62139.3f,AURA
grid.62167.34,JAXA
grid.62560.37,BWH
grid.62813.3e,IIT
grid.63124.32,AU
grid.63833.3d,AWE
grid.63833.3d,AWRE
grid.63906.3a,NCCHD
grid.63984.30,MUHC
grid.64212.33,ISB
grid.64337.35,LSU
grid.64523.36,NCKU
grid.64938.30,NUAA
grid.64939.31,BUAA
grid.65456.34,FIU
grid.65519.3e,OSU
grid.66741.32,BFU
grid.66741.32,BJFU
grid.67105.35,CWRU
grid.67122.30,MOH
grid.69474.38,WAT
grid.69775.3a,USTB
grid.70738.3b,UAF
grid.70909.37,NIBSC
grid.71062.32,OS
grid.71433.32,FFA
grid.71566.33,BAM
grid.72447.32,GRS
grid.72849.30,Si
grid.72859.31,CTIF
grid.72925.3b,MRI
grid.72943.3b,GANIL
grid.73113.37,SMMU
grid.73263.33,IFS
grid.75060.34,CESIT
grid.75276.31,IIASA
grid.75318.38,ICL
grid.75499.36,AVL
